"FEEDERID","DESCRIPTION","LOCATION","LAT","LON","ROUTELENGHT","FEEDERZONEID","SUBSTATIONID","DESCRIPTION2","CREATEDBY","CREATEDON","RECID"
1056,"MCC","THIS FLOUR MILL INJECTION STATION","4.991365 ","/ 8.33258","","",156,"MCC","",02-AUG-22 09.47.13.000000000 PM,1
1062,"JETTY","","4.7899953"," 7.049004","","",162,"JETTY","",02-AUG-22 09.47.13.000000000 PM,2
1063,"OZUBOKO","","4.7820996","7.0483622","","",162,"OZUBOKO","",02-AUG-22 09.47.13.000000000 PM,3
1064,"ODILI ROAD","","4.8037984","7.0513566","","",163,"ODILI ROAD","",02-AUG-22 09.47.13.000000000 PM,4
1065,"OKURU B","","4.8012118"," 7.052701","","",163,"OKURU","",02-AUG-22 09.47.13.000000000 PM,5
1066,"OKPORO ROAD","START POINT","4.8435308","7.0358981","","",165,"OKPORO ROAD","",02-AUG-22 09.47.13.000000000 PM,6
1067,"R-D ROAD","","4.8478448","7.0350371","","",165,"R-D ROAD","",02-AUG-22 09.47.13.000000000 PM,7
1068,"OKOH ROAD ","","4.8461301","7.0335461","","",165,"OKOH ROAD","",02-AUG-22 09.47.13.000000000 PM,8
1069,"FGC","","4.7957054"," 7.037149","","",411,"FGC","",02-AUG-22 09.47.13.000000000 PM,9
1070,"OBIWALI","","4.8683708","6.9999544","","",411,"OBI WALI","",02-AUG-22 09.47.13.000000000 PM,10
1071,"ELIOGBOLO ","","0.0 / 0.0","0.0 / 0.0","","",166,"ELIOGBOLO","",02-AUG-22 09.47.13.000000000 PM,11
1072,"OMACHI","THE FEEDER STARTS HERE","4.8663481","7.0086866","","",411,"OMACHI","",02-AUG-22 09.47.13.000000000 PM,12
1073,"OGBATAI","","4.8131501"," 7.049004","","",167,"OGBATAI","",02-AUG-22 09.47.13.000000000 PM,13
1074,"NVUIGWE","","4.8164881","7.0483358","","",167,"NVUIGWE","",02-AUG-22 09.47.13.000000000 PM,14
1075,"RIVOC  ","","4.8044922","7.0351128","","",168,"RIVOC","",02-AUG-22 09.47.13.000000000 PM,15
1076,"NDABROS ","","4.8045050","666666665","","",168,"NDA BROS","",02-AUG-22 09.47.13.000000000 PM,16
1077,"FIMIE ","","4.8041265","7.0358057","","",168,"FIMIE","",02-AUG-22 09.47.13.000000000 PM,17
1078,"WATER WORKS","THE FEEDER STARTS HERE","4.8321683","7.0045572","","",168,"WATER WORKS","",02-AUG-22 09.47.13.000000000 PM,18
1079,"NIGER CAT ","","4.8034287","7.0248106","","",169,"NIGER CAT","",02-AUG-22 09.47.13.000000000 PM,19
1080,"AMADI AMA","","4.7982036","7.0325381","","",169,"AMADIAMA","",02-AUG-22 09.47.13.000000000 PM,20
1081,"NKPOGU ","","4.7982036","7.0325381","","",169,"NKPOGU","",02-AUG-22 09.47.13.000000000 PM,21
1082,"ELEKAHIA VILLAGE","ELEKAHIA VILLAGE FEEDER ","4.8114077","7.0091085","","",170,"ELEKAHIA VILLAGE","",02-AUG-22 09.47.13.000000000 PM,22
1083,"ELEKAHIA ESTATE","","4.8150532","7.0204433","","",170,"ELEKAHIA ESTATE","",02-AUG-22 09.47.13.000000000 PM,23
1084,"RUMUOMOI ","FEEDER STARTS OFF POINT","4.8312779","7.0049766","","",171,"RUMUOMOI","",02-AUG-22 09.47.13.000000000 PM,24
1086,"NEW GRA ","","0.0 / 0.0","0.0 / 0.0","","",215,"NEW GRA","",02-AUG-22 09.47.13.000000000 PM,25
1087,"OMERELU ","","4.832423 ","7.0056986","","",171,"OMERELU","",02-AUG-22 09.47.13.000000000 PM,26
1088,"WATER LINES ","","4.83269 /","666666667","","",171,"WATER LINES","",02-AUG-22 09.47.13.000000000 PM,27
1089,"IGWURUTA ROAD","","4.8234176","7.0523669","","",172,"IGWURUTA ROAD","",02-AUG-22 09.47.13.000000000 PM,28
1090,"ELIMGBU ","ELIMGBU FEEDER STARTS HERE","4.8898083"," 7.044299","","",172,"ELIMGBU","",02-AUG-22 09.47.13.000000000 PM,29
1091,"OPM","","4.8986205","7.0026411","","",190,"OPM","",02-AUG-22 09.47.13.000000000 PM,30
1093,"PIPE LINE","","4.8636342","7.0184648","","",190,"PIPELINE","",02-AUG-22 09.47.13.000000000 PM,31
1096,"EBUBU","EBUBU FEEDER ","4.7769882","7.1298453","","",262,"EBUBU","",02-AUG-22 09.47.13.000000000 PM,32
1097,"GLASS FACTORY","","4.8300549"," 7.035473","","",162,"GLASS  FACTORY","",02-AUG-22 09.47.13.000000000 PM,33
1098,"OLD ABA ROAD ","","4.8303123","7.0382503","","",176,"OLD ABA ROAD","",02-AUG-22 09.47.13.000000000 PM,34
109877,"Transamdi Gardens","","4.8022711","7.0377356","","",158,"Transamdi Gardens","",02-AUG-22 09.47.13.000000000 PM,35
1099,"RUMUIBEKWE ","RUMUIBEKWE 11KV FEEDER STARTS HERE","4.8303332","7.0362342","","",176,"RUMUIBEKWE","",02-AUG-22 09.47.13.000000000 PM,36
1100,"RUMUKALAGBO ","","4.7897768","7.0030434","","",176,"RUMUOKALAGBOR","",02-AUG-22 09.47.13.000000000 PM,37
1101,"AGIP ROAD","AGIP ROAD 11KV FEEDER STARTS HERE","4.8134715","6.9865225","","",177,"AGIP ROAD","",02-AUG-22 09.47.13.000000000 PM,38
1102,"ABACHA ROAD ","ABACHA 11KV FEEDER STARTS HERE","4.8199163","6.9855152","","",177,"ABACHA ROAD","",02-AUG-22 09.47.13.000000000 PM,39
1104,"AKER ROAD","Aker Feeder Start Here","4.8064435","6.9396942","","",898,"AKER","",02-AUG-22 09.47.13.000000000 PM,40
1105,"NAVY ","","4.7627522","7.0096942","","",179,"NAVY","",02-AUG-22 09.47.13.000000000 PM,41
1106,"HABOUR ROAD ","","4.7617846","7.0100301","","",179,"HARBOUR ROAD","",02-AUG-22 09.47.13.000000000 PM,42
1108,"UDI","UDI 11KV FEEDER STARTS HERE","4.7892189","6.9992827","","",181,"UDI","",02-AUG-22 09.47.13.000000000 PM,43
1109,"NSUKKA","NSUKKA 11KV FEEDER STARTS HERE","4.7888974","6.9992827","","",181,"NSUKKA","",02-AUG-22 09.47.13.000000000 PM,44
1111,"IKWERE ROAD","","4.7855393","7.0032335","","",182,"IKWERE ROAD","",02-AUG-22 09.47.13.000000000 PM,45
1112,"NEW ROAD ","NEW ROAD 11KV FEEDER BEGIN HERE","4.7406873","7.0308581","","",183,"NEW ROAD","",02-AUG-22 09.47.13.000000000 PM,46
1113,"HAROLD WILSON ","","4.7376009","7.0316938","","",183,"HAROLD WILSON","",02-AUG-22 09.47.13.000000000 PM,47
1114,"AMADI RESIDENTIAL","","0.0 / 0.0","0.0 / 0.0","","",184,"TRANS AMADI RESIDENTIAL","",02-AUG-22 09.47.13.000000000 PM,48
1115,"OLD DIOBU ","","4.7985013","7.0054189","","",184,"OLD DIOBU","",02-AUG-22 09.47.13.000000000 PM,49
1116,"AMADI SOUTH ","starting point of d feeder","4.796273 "," 7.005406","","",184,"AMADI SOUTH","",02-AUG-22 09.47.13.000000000 PM,50
